Document Name,References,Type
DoDD 1322.18,"['DoDD 3000.05', 'DoDD 3200.15', 'DoDD 3600.01', 'DoDD 5160.', 'DoDI 1215.06', 'DoDI 1235.11', 'DoDI 1322.26', 'DoDI 1322.27']",Sub-Reference
DoDI 3115.14,"['DoDD 5105.21', 'DoDD 5143.01', 'DoDM 5240.01', 'Department of Homeland Security', 'Directive Type Memorandum 10-004', 'National Security Presidential Directive (NSPD)-47/Homeland Security Presidential Directive-16', 'Public Law 116-92']",Sub-Reference
DoDI 4151.19,"['DoDD 4151.18', 'DoDD 5134.01', 'DoDI 2030.08', 'DoDI 4140.01', 'DoDI 4151.19', 'DoDI 4151.22', 'DoDI 5000.02', 'DoDI 5000.64', 'DoDI 8320.04', 'DoDM 4140.01', 'Defense Acquisition University', 'Deputy Secretary of Defense Memorandum', 'DoD 4160.21-M', 'DoD 4160.28-M', 'DoD Guidebook', 'Military Standard MIL-STD-129P', 'Military Standard MIL-STD-130N', 'Office of the Chairman of the Joint Chiefs of Staff']",Sub-Reference
DoDD 5000.01,"['DoDD 1322.18', 'DoDD 2060.01', 'DoDD 5105.84', 'DoDD 5124.02', 'DoDD 5135.02', 'DoDD 5137.02', 'DoDD 5141.02', 'DoDD 5143.01', 'DoDD 5144.02', 'DoDI 5015.02', 'DoDI 8500.01', 'Military-Standard 882E', 'Public Law 116-283', 'United States Code, Title 10', 'United States Code, Title 44']",Root Reference (Shared)
DoDI 5000.02,"['DoDD 5000.01', 'DoDD 5000.71', 'DoDD 5105.84', 'DoDD 5135.02', 'DoDD 5137.02', 'DoDI 5000.73', 'DoDI 5000.74', 'DoDI 5000.75', 'DoDI 5000.80', 'DoDI 5000.81', 'DoDI 5000.82', 'DoDI 5000.83', 'DoDI 5000.85', 'DoDI 5000.87', 'DoDI 5000.88', 'DoDI 5000.89', 'DoDI 5000.90', 'DoDI 5000.91', 'DoDI 5000.95', 'DoDI 5010.44', 'Adaptive Acquisition Framework Documentation Identification (AAFDID) Tool', 'Cost Assessment and Program Evaluation', 'Deputy Secretary of Defense Memorandum', 'Deputy Secretary of Defense Memorandum', 'Public Law 114-328', 'Secretary of Defense Memorandum', 'Secretary of War Memorandum', 'Service Acquisition Mall', 'United States Code, Title 10']",Sub-Reference
DoDI 5000.73,"['DoDD 4270.05', 'DoDD 5105.84', 'DoDI 5000.84', 'DoDM 5000.04', 'Military Standard MIL-STD-3007G', 'Office of the Secretary of Defense Cost Assessment and Program Evaluation', 'Office of the Secretary of Defense Cost Assessment and Program Evaluation', 'Office of the Secretary of Defense Cost Assessment and Program Evaluation', 'Office of the Secretary of Defense Cost Assessment and Program Evaluation', 'Under Secretary of Defense for Acquisition and Sustainment Memorandum', 'Unified Facilities Criteria 3-701-01', 'Unified Facilities Criteria 3-730-01', 'Unified Facilities Criteria 3-740-05', 'United States Code, Title 10']",Sub-Reference
DoDI 5000.85,"['DoDD 4151.18', 'DoDD 5000.01', 'DoDD 5135.02', 'DoDI 2010.06', 'DoDI 2040.02', 'DoDI 3110.05', 'DoDI 4140.67', 'DoDI 4151.20', 'DoDI 4151.22', 'DoDI 4160.28', 'DoDI 4245.14', 'DoDI 5000.02', 'DoDI 5000.66', 'DoDI 5000.67', 'DoDI 5000.73', 'DoDI 5000.80', 'DoDI 5000.82', 'DoDI 5000.91', 'DoDI 5015.02', 'DoDI 5025.01', 'DoDI O-5240.24', 'DoDM 4140.01', 'DoDM 4160.21', 'DoDM 4160.21', 'DoDM 4160.21', 'DoDM 4160.21', 'DoDM 4160.28', 'DoDM 4160.28', 'DoDM 4160.28', 'Aerospace Industries Association', 'Aerospace Industries Association', 'Chairman of the Joint Chiefs of Staff Manual for the Operation of the Joint Capabilities Integration and Development System', 'Defense Federal Acquisition Regulation Supplement', 'Director of Cost Assessment and Program Evaluation', 'Executive Order 12114', 'Performance Based Logistics Guidebook: A Guide to Developing Performance-Based Arrangements', 'Public Law 110-417', 'Public Law 111-23', 'Public Law 112-239', 'Public Law 112-81', 'Public Law 113-66', 'Public Law 114-92', 'Public Law 115-232', 'Public Law 115-91', 'Public Law 91-190', 'Specification Number DI-IPSC-81427 B', 'Specification Number DI-IPSC-81429 A', 'United States Code, Title 10', 'United States Code, Title 40', 'United States Code, Title 44']",Sub-Reference
DoDI 5000.88,"['DoDD 5000.01', 'DoDD 5135.02', 'DoDD 5137.02', 'DoDD 5205.07', 'DoDI 4120.24', 'DoDI 4630.09', 'DoDI 4650.01', 'DoDI 5000.', 'DoDI 5000.67', 'DoDI 5205.11', 'DoDI 8320.04', 'Chairman of the Joint Chiefs of Staff Instruction 5123.01H', 'Chairman of the Joint Chiefs of Staff Joint Capabilities Integration and Development Systems Manual', 'Defense Acquisition University', 'Defense Contract Management Agency-EA Pamphlet 200.1', 'Department of Defense Joint Software Systems Safety Engineering Handbook', 'Executive Order 12114', 'Military Standard 882E', 'Office of Acquisition', 'Office of the Assistant Secretary of Defense for Research and Engineering', 'Office of the Deputy Assistant Secretary of Defense for Systems Engineering', 'Office of the Deputy Assistant Secretary of Defense for Systems Engineering', 'Office of the Under Secretary of Defense for Research and Engineering', 'Public Law 102-538', 'Public Law 114-328', 'United States Code, Title 10', 'United States Code, Title 42', 'United States Code, Title 47']",Sub-Reference
DoDI 5015.02,"['DoDD 5101.01', 'DoDD 5144.02', 'DoDD 7045.14', 'DoDD 8000.01', 'DoDI 3020.42', 'DoDI 5010.40', 'DoDI 5105.04', 'DoDI 5200.01', 'DoDI 5200.48', 'DoDI 5400.11', 'DoDI 5405.02', 'DoDI 6025.18', 'DoDI 8115.02', 'DoDI 8170.01', 'DoDI 8320.02', 'DoDM 8180.01', 'Code of Federal Regulations, Title 36', 'Code of Federal Regulations, Title 41', 'Committee on National Security Systems Instruction 4009', 'Department of Homeland Security Federal Emergency Management Agency Federal Continuity Directive 1', 'DoD Chief Information Officer Memorandum', 'National Archives and Records Administration', 'National Archives and Records Administration Bulletin 2017-01', 'National Archives and Records Administration Bulletin 2017-02', 'National Archives and Records Administration Bulletin 2019-02', 'National Archives and Records Administration Bulletin 2025-01', 'National Institute of Standards and Technology Special Publication 800-53', 'Office of Management and Budget Circular A-130', 'Office of Management and Budget and National Archives and Records Administration Memorandum M-23-07', 'Office of the Chairman of the Joint Chiefs of Staff', 'United States Code, Title 10', 'United States Code, Title 44']",Sub-Reference (Shared)
DoDI 5025.01,"['DoDD 5100.01', 'DoDD 5101.01', 'DoDD 5105.53', 'DoDD 5110.04', 'DoDI 1400.25', 'DoDI 5015.02', 'DoDI 5025.13', 'DoDI 5200.48', 'DoDI 5230.09', 'DoDI 5230.29', 'DoDI 7750.07', 'DoDI 8520.02', 'DoDI 8910.01', 'DoDM 5200.01', 'DoDM 7750.08', 'DoDM 8910.01', 'Administrative Instruction 102', 'Administrative Instruction 15', 'Code of Federal Regulations, Title 5', 'Deputy Secretary of Defense Memorandum', 'Deputy Secretary of Defense Memorandum', 'Deputy Secretary of Defense Memorandum', 'DoD 7000.14-R', 'Secretary of War Memorandum', 'United States Code, Title 10', 'United States Code, Title 5']",Sub-Reference
